,DT_MEDICAO,TEM_INS,UMD_INS,RAD_GLO,,PREV,PREV_1,PREV_2,PREV_TI,PREV_RI,PREV_UI
0,2021-03-09 00:00:00,25.1,96,3.289,0,0,0,0,0,0,0
1,2021-03-09 01:00:00,25.1,93,1.74,0,0,0,0,0,0,0
2,2021-03-09 02:00:00,24.7,94,0.97,0,0,0,0,0,0,0
3,2021-03-09 03:00:00,24.4,93,2.458,0,0,0,0,0,0,0
4,2021-03-09 04:00:00,24.3,92,3.32,0,0,0,0,0,0,0
5,2021-03-09 05:00:00,24.2,93,-0.254,0,0,0,0,0,0,0
6,2021-03-09 06:00:00,24.1,94,-0.716,0,0,0,0,0,0,0
7,2021-03-09 07:00:00,23.9,95,-1.508,0,0,0,0,0,0,0
8,2021-03-09 08:00:00,24.1,95,-0.337,0,0,0,0,0,0,0
9,2021-03-09 09:00:00,24,96,-0.24,0,0,0,0,0,0,0
10,2021-03-09 10:00:00,23.9,95,25.572,0,0,0,0,0,0,0
11,2021-03-09 11:00:00,25.3,89,243.03,0,0,0,0,0,0,0
12,2021-03-09 12:00:00,26.5,81,502.445,0,0,0,0,0,0,0
13,2021-03-09 13:00:00,27.6,76,976.258,0,0,0,0,0,0,0
14,2021-03-09 14:00:00,28,78,773.713,0,0,0,0,0,0,0
15,2021-03-09 15:00:00,29.7,69,1745.304,0,0,0,0,0,0,0
16,2021-03-09 16:00:00,30.5,66,1831.617,0,0,0,0,0,0,0
17,2021-03-09 17:00:00,30.4,62,2034.885,0,0,0,0,0,0,0
18,2021-03-09 18:00:00,29.1,72,582.301,0,0,0,0,0,0,0
19,2021-03-09 19:00:00,28.4,75,388.682,0,0,0,0,0,0,0
20,2021-03-09 20:00:00,25.6,93,300.721,0,0,0,0,0,0,0
21,2021-03-09 21:00:00,26,88,199.608,0,0,0,0,0,0,0
22,2021-03-09 22:00:00,25.8,87,33.823,0,0,0,0,0,0,0
23,2021-03-09 23:00:00,25.6,87,3.259,0,0,0,0,0,0,0
24,2021-03-10 00:00:00,25.4,90,1.825,0,0,0,0,0,0,0
25,2021-03-10 01:00:00,24.9,94,-0.762,0,0,0,0,0,0,0
26,2021-03-10 02:00:00,24.5,95,0.277,0,0,0,0,0,0,0
27,2021-03-10 03:00:00,24.4,95,0.491,0,0,0,0,0,0,0
28,2021-03-10 04:00:00,24.3,96,0.145,0,0,0,0,0,0,0
29,2021-03-10 05:00:00,24.3,96,-0.077,0,0,0,0,0,0,0
30,2021-03-10 06:00:00,24.2,96,0.64,0,0,0,0,0,0,0
31,2021-03-10 07:00:00,24.2,96,-0.006,0,0,0,0,0,0,0
32,2021-03-10 08:00:00,24.2,96,0.101,0,0,0,0,0,0,0
33,2021-03-10 09:00:00,24.2,96,0.586,0,0,0,0,0,0,0
34,2021-03-10 10:00:00,24.4,96,15.308,0,0,0,0,0,0,0
35,2021-03-10 11:00:00,24.8,95,172.174,0,0,0,0,0,0,0
36,2021-03-10 12:00:00,25.7,87,554.83,0,0,0,0,0,0,0
37,2021-03-10 13:00:00,27,77,960.813,0,0,0,0,0,0,0
38,2021-03-10 14:00:00,27.7,70,1256.037,0,0,0,0,0,0,0
39,2021-03-10 15:00:00,29.4,68,2060.42,0,0,0,0,0,0,0
40,2021-03-10 16:00:00,29.2,67,2142.604,0,0,0,0,0,0,0
41,2021-03-10 17:00:00,28.3,66,1073,0,0,0,0,0,0,0
42,2021-03-10 18:00:00,28.8,67,1090.487,0,0,0,0,0,0,0
43,2021-03-10 19:00:00,28.6,68,1172.084,0,0,0,0,0,0,0
44,2021-03-10 20:00:00,28.8,71,504.322,0,0,0,0,0,0,0
45,2021-03-10 21:00:00,28.1,72,479.669,0,0,0,0,0,0,0
46,2021-03-10 22:00:00,26.7,79,26.083,0,0,0,0,0,0,0
47,2021-03-10 23:00:00,26.2,83,-0.423,0,0,0,0,0,0,0
48,2021-03-11 00:00:00,26,86,-1.077,0,0,0,0,0,0,0
49,2021-03-11 01:00:00,25.6,87,-1.584,0,0,0,0,0,0,0
50,2021-03-11 00:00:00,25.3,88,-3.261,0,0,0,0,0,0,0
51,2021-03-11 03:00:00,25.1,89,-2.095,0,0,0,0,0,0,0
52,2021-03-11 04:00:00,25,90,-2.514,0,0,0,0,0,0,0
53,2021-03-11 05:00:00,24.4,94,-1.217,0,0,0,0,0,0,0
54,2021-03-11 06:00:00,24.2,95,-0.664,0,0,0,0,0,0,0
55,2021-03-11 07:00:00,24.4,95,0.137,0,0,0,0,0,0,0
56,2021-03-11 08:00:00,24.3,96,-0.06,0,0,0,0,0,0,0
57,2021-03-11 09:00:00,24.3,96,-0.004,0,0,0,0,0,0,0
58,2021-03-11 10:00:00,24.6,96,40.248,0,0,0,0,0,0,0
59,2021-03-11 11:00:00,25.9,93,219.972,0,0,0,0,0,0,0
60,2021-03-11 12:00:00,28,80,702.8,0,0,0,0,0,0,0
61,2021-03-11 13:00:00,30.1,68,1040.251,0,0,0,0,0,0,0
62,2021-03-11 14:00:00,29,71,1118.953,0,0,0,0,0,0,0
63,2021-03-11 15:00:00,29.2,70,1094.003,0,0,0,0,0,0,0
64,2021-03-11 16:00:00,25.6,93,777.644,0,0,0,0,0,0,0
65,2021-03-11 17:00:00,24.2,96,245.361,0,0,0,0,0,0,0
66,2021-03-11 18:00:00,25.3,92,482.117,0,0,0,0,0,0,0
67,2021-03-11 19:00:00,27.2,79,667.71,0,0,0,0,0,0,0
68,2021-03-11 20:00:00,26.6,83,436.459,0,0,0,0,0,0,0
69,2021-03-11 21:00:00,25.4,93,88.521,0,0,0,0,0,0,0
70,2021-03-11 22:00:00,24.5,95,11.855,0,0,0,0,0,0,0
71,2021-03-11 23:00:00,23.5,95,4.785,0,0,0,0,0,0,0
72,2021-03-12 00:00:00,23,97,5.174,0,0,0,0,0,0,0
73,2021-03-12 01:00:00,23,97,2.094,0,0,0,0,0,0,0
74,2021-03-12 02:00:00,23.2,97,1.746,0,0,0,0,0,0,0
75,2021-03-12 03:00:00,23.2,97,0.43,0,0,0,0,0,0,0
76,2021-03-12 04:00:00,23.3,97,1.012,0,0,0,0,0,0,0
77,2021-03-12 05:00:00,22.9,97,0.013,0,0,0,0,0,0,0
78,2021-03-12 06:00:00,22.9,97,-0.717,0,0,0,0,0,0,0
79,2021-03-12 07:00:00,22.8,97,-1.201,0,0,0,0,0,0,0
80,2021-03-12 08:00:00,22.9,97,-1.317,0,0,0,0,0,0,0
81,2021-03-12 09:00:00,22.6,97,-2.299,0,0,0,0,0,0,0
82,2021-03-12 10:00:00,23.1,97,28.266,0,0,0,0,0,0,0
83,2021-03-12 11:00:00,23.9,97,285.745,0,0,0,0,0,0,0
84,2021-03-12 12:00:00,26.9,80,924.902,0,0,0,0,0,0,0
85,2021-03-12 13:00:00,27,82,1148.005,0,0,0,0,0,0,0
86,2021-03-12 14:00:00,27.5,78,1206.201,0,0,0,0,0,0,0
87,2021-03-12 15:00:00,30.1,70,2202.68,0,0,0,0,0,0,0
88,2021-03-12 16:00:00,28.3,74,1386.778,0,0,0,0,0,0,0
89,2021-03-12 17:00:00,24.3,93,125.911,0,0,0,0,0,0,0
90,2021-03-12 18:00:00,24.6,93,245.071,0,0,0,0,0,0,0
91,2021-03-12 19:00:00,24.6,95,127.07,0,0,0,0,0,0,0
92,2021-03-12 20:00:00,24.8,94,151.058,0,0,0,0,0,0,0
93,2021-03-12 21:00:00,25.2,95,206.113,0,0,0,0,0,0,0
94,2021-03-12 22:00:00,24.4,94,22.835,0,0,0,0,0,0,0
95,2021-03-12 23:00:00,24,94,3.443,0,0,0,0,0,0,0
96,2021-03-13 00:00:00,24,95,2.026,0,0,0,0,0,0,0
97,2021-03-13 01:00:00,24,95,2.521,0,0,0,0,0,0,0
98,2021-03-13 02:00:00,23.8,96,0.335,0,0,0,0,0,0,0
99,2021-03-13 03:00:00,23.5,96,-0.721,0,0,0,0,0,0,0
100,2021-03-13 04:00:00,23.3,96,-0.918,0,0,0,0,0,0,0
101,2021-03-13 05:00:00,23.1,97,-1.096,0,0,0,0,0,0,0
102,2021-03-13 06:00:00,23,97,-0.481,0,0,0,0,0,0,0
103,2021-03-13 07:00:00,23,97,-1.422,0,0,0,0,0,0,0
104,2021-03-13 08:00:00,22.7,97,-2.28,0,0,0,0,0,0,0
105,2021-03-13 09:00:00,22.9,97,-1.085,0,0,0,0,0,0,0
